Reaction,Flux
O2tpp,NaN
EX_o2(e),NaN
O2tex,NaN
EX_Caprolactone,128.439999999997
Caprolactonetc,128.439999999997
Lact,128.439999999997
ADH,128.439999999997
AldDH,128.439999999997
Adipatetc,128.439999999997
EX_Adipate,128.439999999997
ATPS4rpp,89.9999999999817
CO2tex,68.4400000000012
CO2tpp,68.4400000000012
EX_co2(e),68.4400000000012
AKGDa,66.829230769227
AKGDbr,66.829230769227
ICDHyr,66.8292307692267
ICL,66.8292307692218
H2Otex,56.3811111111059
EX_h2o(e),56.3811111111059
GAPD,51.2249999999975
PGK,51.2249999999975
ENO,51.2249999999896
PGM,51.2249999999896
PYK,51.2249999999894
H2Otpp,48.9142372881315
GLXCL,42.9700000000004
ALCD19,42.9699999999981
GLYALDDr,42.9699999999946
PDHcr,38.4399999999968
G3PD2,36.2250000000011
GLYK,36.2249999999963
TPI,36.2249999999941
NADH16pp,30.0000000000165
EX_glc(e),14.9999999999938
GLCtex,14.9999999999938
ACALD,7.60444444437677
PGI,7.50000000001762
X5PGA3PL,7.49999999999655
PTAr,7.49999999999655
GLCabcpp,7.49999999998538
HEX1,7.49999999998538
ETOHtrpp,7.49999999997804
ALCD2x,7.49999999997804
ETOHtex,7.49999999997134
EX_etoh(e),7.49999999997134
ACLS,2.04888888887959
DHAD1,2.04888888887959
KARA1,2.04888888887959
VALt2rpp,2.04888888887868
EX_val_L(e),2.04888888887864
VALtex,2.04888888887864
FMNR2r,7.55733253754443e-11
PPM,5.23243670613738e-11
HCO3E,5.22391019330826e-11
GLUDy,5.03348474012455e-11
LEUTA,3.88240550819319e-11
SUCOAS,2.34194885706529e-11
3HBCD,1.81614723260282e-11
H2CO3D,1.63140612130519e-11
H2CO3D2,1.63140612130519e-11
FMNRx2,1.21929133456433e-11
CYTBO3_4pp,1.1539214028744e-11
GLUDx,7.38964445190504e-12
MDH,6.42330633127131e-12
DLYSOXGAT,5.96855898038484e-12
DLYSPYRAT,5.96855898038484e-12
LEUDHr,4.43378667114303e-12
ILEDHr,4.09272615797818e-12
FRDO4r,3.46744855050929e-12
FRDO5r,2.72848410531878e-12
FRDO6r,2.72848410531878e-12
ECOAH1,7.95807864051312e-13
ECOAE,5.11590769747272e-13
FUM,-1.70530256582424e-13
FRDO7r,-2.41584530158434e-12
HPYRI,-4.00746102968697e-12
OCBTi,-4.9737991503207e-12
R1PK,-5.54223333892878e-12
R15BPK,-5.54223333892878e-12
VALDHr,-6.30961949354969e-12
ASPT,-6.33804120298009e-12
ALAR,-6.84963197272737e-12
TRSARr,-7.75912667450029e-12
HPYRRy,-8.75388650456443e-12
ACS2,-1.09139364212751e-11
PPCSCT,-1.28181909531122e-11
ASPTA,-1.36708422360243e-11
OCBT2i,-1.47224454849493e-11
ADK1,-1.62572177941911e-11
ILETA,-1.89288584806491e-11
NDPK1,-1.98667748918524e-11
PDHa,-2.34479102800833e-11
PDHbr,-2.34479102800833e-11
ADK3,-2.77680101135047e-11
PPKr,-2.91890955850249e-11
ALATA_L,-2.93312041321769e-11
VALTA,-4.20357082475675e-11
PRPPS,-4.20357082475675e-11
GLUR,-4.2490455598454e-11
