Reaction,Impact
PIuabcpp,1.47726985413994
PItex,1.47726985413994
EX_pi(e),1.47726985413994
CS,1.47726985413978
ACONT,1.47726985413976
ICDHy,1.47726985413976
GLNS,1.47726985413976
PPA,1.47726985413976
PRUK,1.47726985413976
NAR_syn,1.47726985413976
NO3abcpp,1.47726985413976
NO3tex,1.47726985413976
EX_no3(e),1.47726985413976
NOR_syn,1.47726985413976
ADK1,1.47726985413976
ACCOACr,1.47726985413976
MCOATA,1.47726985413976
ALAD_syn,1.47726985413976
SPT_syn2,1.47726985413976
PGLYCP,1.47726985413976
RBCh,1.47726985413976
ARGSL,1.47726985413976
ARGSS,1.47726985413976
GLYCL,1.47726985413976
Ec_biomass_SynMixo,1.47726985413976
ASADi,1.47726985413976
ASPKi,1.47726985413976
ACLS,1.47726985413976
KARA1i,1.47726985413976
DHAD1,1.47726985413976
HSDx,1.47726985413976
HSK,1.47726985413976
THRS,1.47726985413976
IPPMIa,1.47726985413976
IPPS,1.47726985413976
OMCDC,1.47726985413976
IPPMIb,1.47726985413976
IPMD,1.47726985413976
ORNTACr,1.47726985413975
ACGK,1.47726985413975
ACOTA,1.47726985413975
HEX1,1.47726985413975
GLCt2pp,1.47726985413975
GLCtex,1.47726985413975
EX_glc(e),1.47726985413975
PPC,1.47726985413973
ASPTA,1.47726985413971
PRPPS,1.47726985413963
EX_Cyclohexane,0.825029881227225
Cyclohexanetc,0.825029881227225
Cyp,0.825029881227225
CDH,0.825029881227225
CHMO,0.825029881227225
Caprolactonetc,0.825029881227225
EX_Caprolactone,0.825029881227225
O2tc,0.686903046423376
O2tex,0.686485575493479
EX_o2(e),0.686485575493479
H2Otpp,0.517597286428937
H2Otex,0.517241557561991
EX_h2o(e),0.517241557561991
EX_h(e),0.485923833580439
Htex,0.485923833580439
TKT2,0.310474254167456
RPE,0.296923656724389
TKT1,0.28305462097791
RPI,0.222997635832416
RBPC,0.21459175010097
